i loss acc
0 253.11122535169125 0.7100798403193611
1 205.395354449749 0.7784431137724551
2 179.46285089105368 0.8016467065868264
3 184.3384048640728 0.7911676646706587
4 165.02873723208904 0.8151197604790419
5 161.25369238108397 0.8186127744510978
6 151.47529710829258 0.8305888223552895
7 148.96728087216616 0.844810379241517
8 148.7321868315339 0.8385728542914173
9 140.5653035417199 0.8500499001996008
10 138.6284685432911 0.8520459081836325
11 142.43791123479605 0.8400698602794411
12 138.0909752175212 0.848303393213573
13 135.10675324127078 0.8532934131736527
14 129.14255322515965 0.8607784431137725
15 128.07482105121017 0.8585329341317365
16 130.7932088188827 0.8632734530938123
17 122.82118835300207 0.8657684630738521
18 115.26400334388018 0.875
19 115.94178931415081 0.875499001996008
